City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,lasa,46.6166,10.7002,22.03,79,34,1.19,IT,1675830189
113,fredericton,45.9454,-66.6656,18.82,83,100,0.0,CA,1675829907
114,lebu,-37.6167,-73.65,58.64,88,0,17.31,CL,1675830163
115,tabou,4.423,-7.3528,78.51,86,100,6.33,CI,1675830190
116,manggar,-2.8833,108.2667,84.2,69,100,5.66,ID,1675830191
117,saratoga springs,43.0831,-73.7846,37.51,81,88,7.43,US,1675829964
118,severo-kurilsk,50.6789,156.125,24.17,70,20,9.22,RU,1675829998
119,portland,45.5234,-122.6762,45.43,89,0,3.0,US,1675830192
120,southbridge,42.0751,-72.0334,33.93,95,100,11.54,US,1675829905
121,sabha,27.0377,14.4283,51.82,41,97,13.47,LY,1675830192
122,nouadhibou,20.931,-17.0347,58.98,67,0,19.57,MR,1675830193
123,mar del plata,-38.0023,-57.5575,74.08,96,100,14.0,AR,1675830194
124,prudnik,50.3212,17.5746,22.95,92,82,1.57,PL,1675830194
125,fortuna,40.5982,-124.1573,46.98,91,75,0.0,US,1675830195
126,inhambane,-23.865,35.3833,77.99,87,6,5.93,MZ,1675830195
127,sorland,67.667,12.6934,44.46,85,100,50.6,NO,1675830156
128,hermanus,-34.4187,19.2345,65.8,84,0,12.5,ZA,1675830196
129,airai,-8.9266,125.4092,69.69,80,82,3.53,TL,1675830196
130,tuy hoa,13.0833,109.3,79.88,76,40,6.76,VN,1675830197
131,kahului,20.8947,-156.47,75.85,82,40,18.41,US,1675830198
132,alta floresta,-9.8756,-56.0861,70.9,97,97,1.92,BR,1675830198
133,puerto escondido,15.85,-97.0667,76.64,70,1,6.29,MX,1675830101
134,gazanjyk,39.2446,55.5154,48.43,63,100,8.95,TM,1675830199
135,jian,27.1172,114.9793,53.42,91,100,3.11,CN,1675830199
136,maracaju,-21.6144,-55.1683,70.56,90,31,4.14,BR,1675830200
137,mudgee,-32.5943,149.5871,84.78,39,47,8.77,AU,1675830201
138,matai,-8.3,31.5167,63.84,96,100,2.15,TZ,1675830201
139,beysehir,37.6773,31.7246,9.63,97,60,6.29,TR,1675830202
140,mumford,5.2618,-0.759,77.74,91,47,7.25,GH,1675830203
141,mount gambier,-37.8333,140.7667,73.6,45,12,12.26,AU,1675830055
142,chapais,49.7834,-74.8492,22.78,95,100,9.37,CA,1675830204
143,sal rei,16.1833,-22.9167,67.3,66,26,19.93,CV,1675830205
144,ponta do sol,32.6667,-17.1,59.72,72,34,8.01,PT,1675830205
145,nizhniy kuranakh,58.8353,125.4869,-13.25,87,100,4.29,RU,1675830206
146,kamenka,51.3223,42.7678,6.66,93,6,11.16,RU,1675830206
147,alyangula,-13.8483,136.4192,86.4,66,100,3.04,AU,1675830207
148,tilichiki,60.4667,166.1,-19.28,90,63,9.62,RU,1675830208
149,kyshtovka,56.555,76.6271,-7.15,99,86,5.19,RU,1675830208
150,cavalcante,-13.7975,-47.4583,69.84,75,81,2.17,BR,1675830209
151,bairiki,1.3292,172.9752,86.0,62,20,13.8,KI,1675830209
152,narsaq,60.9167,-46.05,-5.58,66,16,9.17,GL,1675830210
153,cabo san lucas,22.8909,-109.9124,68.5,41,84,4.63,MX,1675830143
154,xuddur,4.1213,43.8894,68.7,78,2,15.3,SO,1675830211
155,samarai,-10.6167,150.6667,82.29,79,100,16.44,PG,1675830212
156,haines junction,60.7522,-137.5108,24.75,80,35,3.44,CA,1675830212
157,saskylakh,71.9167,114.0833,-29.11,100,100,1.19,RU,1675830213
158,nhulunbuy,-12.2333,136.7667,84.81,79,40,8.05,AU,1675830214
159,kodiak,57.79,-152.4072,22.51,63,0,17.27,US,1675830020
160,rio grande,-32.035,-52.0986,74.01,72,0,14.94,BR,1675830157
161,port hardy,50.6996,-127.4199,37.58,100,75,3.44,CA,1675830215
162,ambon,-3.6954,128.1814,89.74,58,20,12.66,ID,1675829932
163,allada,6.6655,2.1514,79.56,91,90,3.56,BJ,1675830216
164,charters towers,-20.1,146.2667,91.11,40,98,10.74,AU,1675830216
165,petropavlovsk-kamchatskiy,53.0452,158.6483,18.19,42,20,4.47,RU,1675830165
166,presidencia roque saenz pena,-26.7852,-60.4388,82.42,37,37,5.73,AR,1675830217
167,najran,17.4924,44.1277,61.45,67,10,5.39,SA,1675830198
168,port blair,11.6667,92.75,84.24,61,40,9.22,IN,1675830056
169,esperance,-33.8667,121.9,72.1,64,71,12.39,AU,1675830218
170,mandalgovi,45.7625,106.2708,16.12,70,97,9.08,MN,1675830219
171,imphal,24.8167,93.95,67.91,64,40,1.14,IN,1675830219
172,tasiilaq,65.6145,-37.6368,-0.24,42,0,21.85,GL,1675830219
173,durban,-29.8579,31.0292,75.02,90,100,4.0,ZA,1675830220
174,tuatapere,-46.1333,167.6833,54.66,67,59,16.02,NZ,1675830220
175,ghatanji,20.1333,78.3167,77.79,26,1,8.68,IN,1675830221
176,aklavik,68.2191,-135.0107,-20.13,96,100,7.9,CA,1675830012
177,luzhou,28.8724,105.4405,54.19,80,100,0.69,CN,1675830221
178,xining,36.6167,101.7667,31.53,67,100,2.08,CN,1675830222
179,mehamn,71.0357,27.8492,33.75,64,0,18.41,NO,1675830222
180,carnarvon,-24.8667,113.6333,86.65,49,3,14.67,AU,1675830223
181,iralaya,15.0,-83.2333,77.11,81,54,12.75,HN,1675830112
182,yumen,40.2833,97.2,33.19,41,30,15.79,CN,1675830223
183,ilulissat,69.2167,-51.1,-16.58,76,75,5.75,GL,1675830096
184,toyooka,35.5333,134.8333,44.65,87,75,6.91,JP,1675830224
185,pringsewu,-5.3582,104.9744,87.03,61,95,2.84,ID,1675830224
186,hamilton,39.1834,-84.5333,50.77,90,100,5.75,US,1675830224
187,lakhdenpokhya,61.5198,30.1992,32.5,98,100,6.64,RU,1675830029
188,guanica,17.9716,-66.908,75.18,65,1,5.06,PR,1675829982
189,filadelfia,39.9523,-75.1638,42.17,80,100,0.0,US,1675830174
190,college,64.8569,-147.8028,6.78,82,75,3.44,US,1675830225
191,marawi,7.9986,124.2928,79.18,57,74,7.18,PH,1675830226
192,birin,26.8865,88.0718,57.51,43,2,5.06,NP,1675830226
193,antofagasta,-23.65,-70.4,69.08,82,97,4.97,CL,1675830226
